ano,mes,valor
2013,1,678.0
2013,2,678.0
2013,3,678.0
2013,4,678.0
2013,5,678.0
2013,6,678.0
2013,7,678.0
2013,8,678.0
2013,9,678.0
2013,10,678.0
2013,11,678.0
2013,12,678.0
2014,1,724.0
2014,2,724.0
2014,3,724.0
2014,4,724.0
2014,5,724.0
2014,6,724.0
2014,7,724.0
2014,8,724.0
2014,9,724.0
2014,10,724.0
2014,11,724.0
2014,12,724.0
2015,1,788.0
2015,2,788.0
2015,3,788.0
2015,4,788.0
2015,5,788.0
2015,6,788.0
2015,7,788.0
2015,8,788.0
2015,9,788.0
2015,10,788.0
2015,11,788.0
2015,12,788.0
2016,1,880.0
2016,2,880.0
2016,3,880.0
2016,4,880.0
2016,5,880.0
2016,6,880.0
2016,7,880.0
2016,8,880.0
2016,9,880.0
2016,10,880.0
2016,11,880.0
2016,12,880.0
2017,1,937.0
2017,2,937.0
2017,3,937.0
2017,4,937.0
2017,5,937.0
2017,6,937.0
2017,7,937.0
2017,8,937.0
2017,9,937.0
2017,10,937.0
2017,11,937.0
2017,12,937.0
2018,1,954.0
2018,2,954.0
2018,3,954.0
2018,4,954.0
2018,5,954.0
2018,6,954.0
2018,7,954.0
2018,8,954.0
2018,9,954.0
2018,10,954.0
2018,11,954.0
2018,12,954.0
2019,1,998.0
2019,2,998.0
2019,3,998.0
2019,4,998.0
2019,5,998.0
2019,6,998.0
2019,7,998.0
2019,8,998.0
2019,9,998.0
2019,10,998.0
2019,11,998.0
2019,12,998.0
2020,1,1039.0
2020,2,1045.0
2020,3,1045.0
2020,4,1045.0
2020,5,1045.0
2020,6,1045.0
2020,7,1045.0
2020,8,1045.0
2020,9,1045.0
2020,10,1045.0
2020,11,1045.0
2020,12,1045.0
2021,1,1100.0
2021,2,1100.0
2021,3,1100.0
2021,4,1100.0
2021,5,1100.0
2021,6,1100.0
2021,7,1100.0
2021,8,1100.0
2021,9,1100.0
2021,10,1100.0
2021,11,1100.0
2021,12,1100.0
2022,1,1212.0
2022,2,1212.0
2022,3,1212.0
2022,4,1212.0
2022,5,1212.0
2022,6,1212.0
2022,7,1212.0
2022,8,1212.0
2022,9,1212.0
2022,10,1212.0
2022,11,1212.0
2022,12,1212.0
2023,1,1302.0
2023,2,1302.0
2023,3,1302.0
2023,4,1302.0
2023,5,1320.0
2023,6,1320.0
2023,7,1320.0
2023,8,1320.0
2023,9,1320.0
2023,10,1320.0
2023,11,1320.0
2023,12,1320.0
2024,1,1412.0
2024,2,1412.0
2024,3,1412.0
2024,4,1412.0
2024,5,1412.0
2024,6,1412.0
2024,7,1412.0
2024,8,1412.0
2024,9,1412.0
2024,10,1412.0
2024,11,1412.0
2024,12,1412.0
